pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf
GBPUSD,2018-10-24 12:00:00,2018-10-24 12:00:00,2018-10-26 13:00:00,-1,129324.0,129332.0,129874.1397765973,127948.65055850675,127956.65055850675,TP,2.485458241086512,366.7598510648662,m30
GBPUSD,2018-10-30 12:00:00,2018-10-30 12:00:00,2018-10-31 17:00:00,-1,127634.0,127643.0,128098.43119221718,126472.92201945708,128106.43119221718,SL,-1.0172253718830013,309.6207948114467,m30
GBPUSD,2018-11-15 16:00:00,2018-11-15 16:00:00,2018-11-16 16:00:00,-1,127743.0,127750.0,128938.50318103794,124754.24204740516,128652.0,FRIDAY,-0.7603492942702208,797.0021206919586,m30
GBPUSD,2019-04-03 12:00:00,2019-04-03 12:00:00,2019-04-04 17:30:00,1,131728.0,131718.0,130937.75215356708,133703.6196160823,130929.75215356708,SL,-1.0101234062656523,526.8318976219471,m30
GBPUSD,2019-05-16 16:00:00,2019-05-16 16:00:00,2019-05-17 16:00:00,-1,127947.0,127954.0,128394.21746239142,126828.95634402144,127521.0,FRIDAY,0.9525567220073038,298.1449749276164,m30
GBPUSD,2019-05-21 12:00:00,2019-05-21 12:00:00,2019-05-21 15:00:00,-1,126936.0,126943.0,127304.11055314694,126015.72361713265,127312.11055314694,SL,-1.0217326016100532,245.4070354312919,m30
GBPUSD,2019-05-22 12:00:00,2019-05-22 12:00:00,2019-05-24 12:00:00,-1,126613.0,126622.0,127086.54011056254,125429.14972359365,127094.54011056254,SL,-1.0168940282386902,315.6934070416927,m30
GBPUSD,2019-05-29 12:00:00,2019-05-29 12:00:00,2019-05-31 16:00:00,-1,126412.0,126420.0,126804.95615877028,125429.6096030743,125822.0,FRIDAY,1.5014397581815648,261.97077251351743,m30
GBPUSD,2019-06-14 12:00:00,2019-06-14 12:00:00,2019-06-14 16:00:00,-1,126602.0,126611.0,126978.8152974207,125659.96175644823,126202.0,FRIDAY,1.0615280290847826,251.2101982804718,m30
GBPUSD,2019-07-02 12:00:00,2019-07-02 12:00:00,2019-07-05 16:00:00,-1,126161.0,126171.0,126585.76074113084,125099.09814717287,125237.0,FRIDAY,2.175342282198723,283.1738274205654,m30
GBPUSD,2019-07-09 16:00:00,2019-07-09 16:00:00,2019-07-10 12:00:00,-1,124492.0,124501.0,124863.45207867886,123563.36980330286,124871.45207867886,SL,-1.0215370984824201,247.63471911923816,m30
GBPUSD,2019-07-29 08:00:00,2019-07-29 08:00:00,2019-07-29 15:30:00,-1,123650.0,123658.0,124067.37776236239,122606.55559409402,122614.55559409402,TP,2.4808327114633215,278.25184157492487,m30
