pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf,holding_hours,entry_checkpoint_utc,weekday,trend_sep_atr,ema_slope_atr,breakout_atr,candle_atr,atr_pct_252,year,entry_weekday,friday_outcome,no_chase_displacement_atr
USDJPY,2013-11-27 16:00:00,2013-11-27 16:00:00,2013-11-29 16:00:00,1,102137.0,102131.0,101696.60495695926,103237.98760760186,102295.0,FRIDAY,0.3587687974621095,293.5966953604929,h4,48.0,16,Wednesday,8.126389426892963,1.49262294152372,0.7288910378818806,1.4884363717494478,0.46825396825396826,2013,Wednesday,FRIDAY_WIN,0.020436197323791046
USDJPY,2013-12-02 12:00:00,2013-12-02 12:00:00,2013-12-03 12:00:00,1,102786.0,102782.0,102413.0212544974,103718.44686375649,102406.0212544974,SL,-1.0187678254710426,248.65249700172888,h4,24.0,12,Monday,10.387750843704131,2.227668187678598,0.6836850707307315,1.6046490777738933,0.1746031746031746,2013,Monday,NOT_FRIDAY,0.016086707546605447
USDJPY,2014-04-01 16:00:00,2014-04-01 16:00:00,2014-04-04 16:00:00,1,103471.0,103464.0,103120.62459225729,104346.93851935685,103651.0,FRIDAY,0.5137346857749976,233.58360516182253,h4,72.0,16,Tuesday,9.073170019750759,0.09510465964696863,0.11130918191791614,0.8433811091472877,0.0992063492063492,2014,Tuesday,FRIDAY_WIN,0.029967856670208192
USDJPY,2014-07-30 12:00:00,2014-07-30 12:00:00,2014-07-30 12:00:00,1,102232.0,102225.0,102055.80795130164,102672.4801217459,102665.4801217459,TP,2.4602706248567423,117.46136579890636,h4,0.0,12,Wednesday,4.697804111649362,0.010346888570342662,0.6044540646798868,1.13228719158345,0.01984126984126984,2014,Wednesday,NOT_FRIDAY,0.059594062714918426
USDJPY,2014-08-13 12:00:00,2014-08-13 12:00:00,2014-08-15 16:00:00,1,102457.0,102451.0,102211.74333733578,103070.14165666052,102623.0,FRIDAY,0.6768419589370076,163.50444177614318,h4,52.0,12,Wednesday,3.8547206516824555,0.19557656239562693,0.5626758453813678,1.6024029509773736,0.6706349206349206,2014,Wednesday,FRIDAY_WIN,0.03669625078574138
USDJPY,2014-08-19 16:00:00,2014-08-19 16:00:00,2014-08-20 12:00:00,1,102803.0,102795.0,102586.93925596264,103343.15186009344,103336.15186009344,TP,2.46760170371907,144.04049602491654,h4,20.0,16,Tuesday,4.55276478702908,0.5458161163037913,0.5762268409964544,1.2635335549560807,0.4603174603174603,2014,Tuesday,NOT_FRIDAY,0.055539936481585964
USDJPY,2014-09-01 12:00:00,2014-09-01 12:00:00,2014-09-02 08:00:00,1,104271.0,104266.0,104028.65079042154,104876.87302394616,104869.87302394616,TP,2.4711160601176645,161.56613971897443,h4,20.0,12,Monday,6.072614471535306,1.8717574809646962,0.3713649413445356,1.0583900828319266,0.5357142857142857,2014,Monday,NOT_FRIDAY,0.030947078445377977
USDJPY,2014-09-02 12:00:00,2014-09-02 12:00:00,2014-09-05 00:00:00,1,104925.0,104918.0,104673.10920487846,105554.72698780384,105547.72698780384,TP,2.472210179428671,167.9271967476885,h4,60.0,12,Tuesday,6.085222377193737,1.79468750201067,0.33943280840710277,1.1552625408943498,0.5714285714285714,2014,Tuesday,NOT_FRIDAY,0.04168473085701262
USDJPY,2014-09-09 08:00:00,2014-09-09 08:00:00,2014-09-12 00:00:00,1,106247.0,106241.0,105838.9438102235,107267.14047444126,107260.14047444126,TP,2.48284549977338,272.0374598510006,h4,64.0,8,Tuesday,4.851903660721396,1.7463606192940113,0.2683453964023311,1.279235588328921,0.9920634920634921,2014,Tuesday,NOT_FRIDAY,0.02205578600567105
USDJPY,2014-09-18 08:00:00,2014-09-18 08:00:00,2014-09-19 16:00:00,1,108826.0,108818.0,108362.48871650988,109984.77820872531,108853.0,FRIDAY,0.0582510091161031,309.0075223267509,h4,32.0,8,Thursday,6.321678443313307,2.380075869058183,0.44335490271700695,1.142367012110244,0.996031746031746,2014,Thursday,FRIDAY_WIN,0.02588933738493471
USDJPY,2014-09-29 08:00:00,2014-09-29 08:00:00,2014-09-29 12:00:00,1,109670.0,109664.0,109218.04052655754,110799.89868360617,109211.04052655754,SL,-1.0154881143361898,301.3063156283066,h4,4.0,8,Monday,8.868808625941261,2.686973566067889,0.424816850364005,1.2877260776658903,0.8571428571428571,2014,Monday,NOT_FRIDAY,0.019913289860812738
